00,-100,-100,-100,-100,-100,-79,-77,-42,-42,-100,-100,-100,-100,-81,-67,-100,-100,-82,-100,-100,-39,-38,-100,-100,-100,-100,-100,-100,-67,-67,-100,-67,-100,-100,-100,-100,-100,-80,-100,-100,-100,-68,-85,-100,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-74,-73,-100,-100,-100,-72,-68,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-65,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-85,-100,-100,-100,-100,-88,-100,-100,-100,-100
01,-100,-100,-100,-100,-100,-73,-74,-42,-41,-100,-100,-100,-100,-80,-69,-100,-100,-80,-100,-100,-53,-54,-100,-100,-100,-100,-100,-100,-67,-58,-100,-58,-100,-100,-100,-100,-100,-83,-100,-100,-100,-75,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-75,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-84,-85,-100,-100,-100,-100,-65,-100,-67,-100,-100,-100,-100,-100,-100,-84,-75,-100,-72,-100,-100,-90,-100,-100,-79,-100,-79,-100,-100,-100,-100
02,-100,-100,-100,-100,-100,-69,-74,-39,-40,-100,-100,-100,-100,-80,-67,-100,-100,-80,-100,-100,-53,-36,-100,-100,-100,-100,-100,-100,-72,-62,-100,-65,-100,-100,-100,-100,-100,-76,-100,-100,-100,-75,-100,-100,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-94,-72,-75,-100,-100,-100,-73,-73,-100,-100,-100,-100,-100,-84,-90,-100,-100,-100,-100,-65,-100,-65,-100,-100,-100,-100,-100,-100,-84,-75,-100,-72,-100,-100,-87,-100,-100,-82,-100,-80,-100,-100,-100,-100
03,-100,-100,-100,-100,-100,-71,-74,-37,-37,-100,-100,-92,-100,-75,-71,-100,-100,-74,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-67,-59,-100,-60,-100,-100,-100,-100,-100,-80,-100,-100,-100,-67,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-100,-100,-63,-100,-63,-100,-100,-100,-100,-100,-100,-78,-100,-100,-72,-100,-100,-86,-100,-100,-77,-100,-84,-100,-100,-100,-100
04,-100,-100,-100,-100,-100,-71,-72,-41,-39,-100,-100,-91,-90,-76,-66,-79,-83,-76,-100,-100,-35,-32,-100,-100,-100,-100,-100,-100,-66,-63,-100,-63,-100,-100,-100,-100,-100,-75,-100,-100,-100,-71,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-64,-100,-63,-100,-94,-100,-100,-100,-100,-78,-100,-100,-66,-100,-100,-85,-100,-100,-100,-100,-81,-100,-100,-100,-100
05,-85,-83,-100,-100,-100,-68,-74,-46,-48,-100,-100,-100,-100,-75,-73,-81,-85,-75,-100,-100,-39,-39,-100,-100,-100,-100,-100,-100,-66,-68,-100,-67,-100,-100,-100,-100,-100,-78,-100,-100,-100,-65,-100,-100,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-75,-82,-86,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-64,-100,-100,-80,-100,-100,-84,-100,-79,-100,-100,-100,-100
06,-87,-86,-100,-100,-100,-100,-74,-44,-44,-86,-100,-100,-100,-70,-67,-100,-100,-70,-100,-100,-50,-68,-100,-100,-100,-100,-100,-100,-66,-74,-100,-76,-100,-100,-100,-100,-100,-75,-100,-100,-100,-66,-100,-100,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-88,-100,-100,-75,-100,-87,-100,-94,-100,-100,-85,-85,-100,-100,-100,-100,-62,-100,-66,-100,-100,-100,-100,-100,-100,-73,-74,-100,-57,-100,-100,-78,-100,-100,-81,-100,-77,-100,-100,-100,-100
07,-100,-100,-100,-100,-100,-61,-59,-49,-49,-88,-100,-100,-100,-73,-66,-100,-100,-74,-100,-100,-47,-68,-100,-100,-100,-100,-100,-100,-66,-74,-100,-77,-100,-100,-100,-100,-100,-74,-100,-100,-100,-65,-88,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-72,-89,-100,-100,-100,-100,-89,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-71,-100,-62,-100,-100,-80,-100,-100,-83,-100,-81,-100,-100,-100,-100
10,-100,-100,-100,-100,-100,-73,-78,-44,-45,-89,-100,-100,-100,-80,-67,-100,-100,-79,-100,-100,-37,-37,-100,-100,-100,-100,-100,-100,-71,-64,-100,-65,-100,-100,-100,-100,-100,-74,-100,-100,-85,-73,-100,-85,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100,-63,-100,-62,-100,-100,-100,-100,-100,-100,-81,-100,-100,-65,-100,-100,-85,-100,-100,-86,-100,-86,-100,-100,-100,-100
11,-100,-100,-100,-100,-100,-73,-71,-45,-45,-100,-100,-100,-100,-84,-70,-100,-100,-83,-100,-100,-37,-37,-100,-100,-100,-100,-100,-100,-67,-61,-100,-62,-100,-100,-100,-100,-100,-76,-100,-100,-83,-66,-100,-84,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-71,-75,-100,-100,-100,-100,-100,-88,-89,-100,-100,-100,-100,-63,-100,-62,-100,-100,-100,-100,-100,-100,-81,-100,-100,-67,-100,-100,-85,-100,-100,-86,-100,-85,-100,-100,-100,-100
